"","Date","RotH","Home","HQ1","HQ2","HQ3","HQ4","HFinal","MoneyLineHome","RotV","Away","VQ1","VQ2","VQ3","VQ4","VFinal","MoneyLineVisitor","OS","OOU","CS","COU","WP.H","WP.V","FinalOU","PointsTotal","SpreadH","Covered"
"9791",2010-01-12,506,"Memphis",26,26,27,25,104,-260,505,"LAClippers",37,28,25,12,102,220,5,199,6,199,0.704861111111111,0.295138888888889,"Over",206,-6,0
"9792",2010-01-12,508,"SanAntonio",27,26,22,30,105,-175,507,"LALakers",23,18,22,22,85,155,2.5,194.5,3.5,194,0.622103386809269,0.377896613190731,"Under",190,-3.5,1
"9793",2010-01-12,510,"Sacramento",58,-3,23,10,88,160,509,"Orlando",53,-2,25,33,109,-180,4,206,4,207,0.370879120879121,0.629120879120879,"Under",197,4,0
"9794",2010-01-13,702,"Philadelphia",26,22,20,24,92,-140,701,"NewYork",30,17,21,25,93,120,3,202,2.5,204,0.564393939393939,0.435606060606061,"Under",185,-2.5,0
"9795",2010-01-13,704,"Atlanta",17,28,21,28,94,-750,703,"Washington",13,20,29,20,82,525,11,205,11.5,203,0.861176470588235,0.138823529411765,"Under",176,-11.5,1
"9796",2010-01-13,706,"Indiana",24,28,39,31,122,160,705,"Phoenix",35,33,23,23,114,-185,3.5,226.5,4,227,0.36774628879892,0.63225371120108,"Over",236,4,1
"9797",2010-01-13,708,"NewJersey",22,13,29,23,87,290,707,"Boston",38,33,19,21,111,-350,8.5,190,8,189.5,0.239316239316239,0.760683760683761,"Over",198,8,0
"9798",2010-01-13,710,"NewOrleans",28,22,28,30,108,-355,709,"LAClippers",25,23,22,24,94,295,5,192.5,7.5,192.5,0.763527611628877,0.236472388371123,"Over",202,-7.5,1
"9799",2010-01-13,712,"OklahomaCity",18,33,26,22,108,-175,711,"SanAntonio",35,28,13,23,109,155,1,192.5,3.5,193,0.622103386809269,0.377896613190731,"Over",217,-3.5,0
"9800",2010-01-13,714,"Houston",30,23,16,20,120,-475,713,"Minnesota",13,31,17,28,114,380,10,203.5,9,203.5,0.808876811594203,0.191123188405797,"Over",234,-9,0
"9801",2010-01-13,716,"Dallas",24,21,26,24,95,-265,715,"LALakers",27,22,27,24,100,225,5.5,197,6,195.5,0.709167544783983,0.290832455216017,"Under",195,-6,0
"9802",2010-01-13,718,"Denver",25,25,35,30,115,-225,717,"Orlando",25,28,19,25,97,185,4,209,6,209.5,0.670715249662618,0.329284750337382,"Over",212,-6,1
"9803",2010-01-13,720,"Portland",31,35,31,23,120,-260,719,"Milwaukee",16,30,25,37,108,220,5.5,190.5,6,192.5,0.704861111111111,0.295138888888889,"Over",228,-6,1
"9804",2010-01-13,722,"GoldenState",23,21,32,26,102,-145,721,"Miami",22,30,38,25,115,125,2.5,215,2.5,214.5,0.573696145124717,0.426303854875283,"Over",217,-2.5,0
"9805",2010-01-14,502,"Boston",18,21,24,20,83,-275,501,"Chicago",29,18,23,26,96,235,7,194.5,6.5,195,0.717412935323383,0.282587064676617,"Under",179,-6.5,0
"9806",2010-01-14,504,"Utah",19,21,15,42,97,-120,503,"Cleveland",26,21,13,36,96,100,0,196.5,1,194.5,0.522727272727273,0.477272727272727,"Under",193,-1,0
"9807",2010-01-15,802,"Charlotte",22,16,26,28,92,115,801,"SanAntonio",24,18,15,19,76,-135,2,189,2,188.5,0.445324096981692,0.554675903018308,"Under",168,2,1
"9808",2010-01-15,804,"Philadelphia",32,17,25,24,98,-150,803,"Sacramento",25,22,24,15,86,130,3,207,3,209,0.582608695652174,0.417391304347826,"Under",184,-3,1
"9809",2010-01-15,806,"Atlanta",17,33,28,24,102,-235,805,"Phoenix",25,30,20,26,101,195,5.5,218,5.5,216,0.681254743232988,0.318745256767012,"Under",203,-5.5,0
"9810",2010-01-15,808,"Memphis",35,31,40,29,135,-335,807,"Minnesota",30,29,22,29,110,275,9,207,7.5,209.5,0.751724137931034,0.248275862068966,"Over",245,-7.5,1
"9811",2010-01-15,810,"Detroit",31,24,21,20,110,125,809,"NewOrleans",16,28,25,27,104,-145,2,192,2.5,190.5,0.426303854875283,0.573696145124717,"Over",214,2.5,1
"9812",2010-01-15,812,"NewYork",20,23,37,24,104,-135,811,"Toronto",39,28,26,19,112,115,2.5,210,2,210.5,0.554675903018308,0.445324096981692,"Over",216,-2,0
"9813",2010-01-15,814,"NewJersey",28,24,24,29,105,115,813,"Indiana",31,41,24,25,121,-135,3.5,209,2.5,207.5,0.445324096981692,0.554675903018308,"Over",226,2.5,0
"9814",2010-01-15,816,"Chicago",26,21,27,30,121,-250,815,"Washington",24,24,29,27,119,210,6,199,6,198,0.695852534562212,0.304147465437788,"Over",240,-6,0
"9815",2010-01-15,818,"Houston",29,24,24,29,106,-190,817,"Miami",27,35,29,24,115,160,4.5,194,4,194.5,0.635278514588859,0.364721485411141,"Over",221,-4,0
"9816",2010-01-15,820,"Dallas",19,29,26,25,99,-220,819,"OklahomaCity",28,27,16,27,98,180,6,196,5,195.5,0.665178571428571,0.334821428571429,"Over",197,-5,0
"9817",2010-01-15,822,"GoldenState",23,33,23,25,104,-160,821,"Milwaukee",21,27,36,29,113,140,4.5,216,3.5,217,0.599358974358974,0.400641025641026,"Under",217,-3.5,0
"9818",2010-01-15,824,"Portland",24,28,25,25,102,200,823,"Orlando",14,18,27,28,87,-240,5.5,194.5,5.5,194,0.313725490196078,0.686274509803922,"Under",189,5.5,1
"9819",2010-01-15,826,"LALakers",28,25,36,37,126,-750,825,"LAClippers",25,25,17,19,86,550,10.5,196.5,10.5,196.5,0.864253393665158,0.135746606334842,"Over",212,-10.5,1
"9820",2010-01-16,502,"Charlotte",42,32,31,20,125,-145,501,"Phoenix",23,24,30,22,99,125,1,208,3,208.5,0.573696145124717,0.426303854875283,"Over",224,-3,1
